NOM_ENT,Grupo quinquenal de edad,AÑO,Total,Hombres,Mujeres
Aguascalientes,No especificado,1990,2245,1084,1161
Aguascalientes,No especificado,1995,1254,607,647
Aguascalientes,No especificado,2000,102,44,58
Aguascalientes,No especificado,2005,98,41,57
Aguascalientes,No especificado,2010,109,45,64
Aguascalientes,No especificado,2020,1508,749,759
Aguascalientes,95 a 99 años,1990,237,81,156
Aguascalientes,95 a 99 años,1995,380,154,226
Aguascalientes,95 a 99 años,2000,1169,466,703
Aguascalientes,95 a 99 años,2005,1302,542,760
Aguascalientes,95 a 99 años,2010,1467,605,862
Aguascalientes,95 a 99 años,2020,796,284,512
Aguascalientes,90 a 94 años,1990,715,295,420
Aguascalientes,90 a 94 años,1995,975,409,566
Aguascalientes,90 a 94 años,2000,2726,1185,1541
Aguascalientes,90 a 94 años,2005,3140,1384,1756
Aguascalientes,90 a 94 años,2010,4061,1780,2281
Aguascalientes,90 a 94 años,2020,2410,942,1468
Aguascalientes,85 a 89 años,1990,2221,978,1243
Aguascalientes,85 a 89 años,1995,2428,1063,1365
Aguascalientes,85 a 89 años,2000,4336,1915,2421
Aguascalientes,85 a 89 años,2005,6155,2668,3487
Aguascalientes,85 a 89 años,2010,7228,3094,4134
Aguascalientes,85 a 89 años,2020,5576,2360,3216
Aguascalientes,80 a 84 años,1990,3661,1622,2039
Aguascalientes,80 a 84 años,1995,3892,1776,2116
Aguascalientes,80 a 84 años,2000,7754,3648,4106
Aguascalientes,80 a 84 años,2005,9203,4193,5010
Aguascalientes,80 a 84 años,2010,10673,4862,5811
Aguascalientes,80 a 84 años,2020,10186,4397,5789
Aguascalientes,75 a 79 años,1990,5378,2540,2838
Aguascalientes,75 a 79 años,1995,5771,2738,3033
Aguascalientes,75 a 79 años,2000,10714,4901,5813
Aguascalientes,75 a 79 años,2005,12912,5935,6977
Aguascalientes,75 a 79 años,2010,15254,6967,8287
Aguascalientes,75 a 79 años,2020,16581,7739,8842
Aguascalientes,70 a 74 años,1990,6731,3191,3540
Aguascalientes,70 a 74 años,1995,9452,4438,5014
Aguascalientes,70 a 74 años,2000,13752,6333,7419
Aguascalientes,70 a 74 años,2005,16290,7509,8781
Aguascalientes,70 a 74 años,2010,21004,9895,11109
Aguascalientes,70 a 74 años,2020,25586,11782,13804
Aguascalientes,65 a 69 años,1990,10091,4755,5336
Aguascalientes,65 a 69 años,1995,11870,5412,6458
Aguascalientes,65 a 69 años,2000,17759,8129,9630
Aguascalientes,65 a 69 años,2005,23168,10959,12209
Aguascalientes,65 a 69 años,2010,29258,13686,15572
Aguascalientes,65 a 69 años,2020,35823,16698,19125
Aguascalientes,60 a 64 años,1990,13035,6059,6976
Aguascalientes,60 a 64 años,1995,15900,7378,8522
Aguascalientes,60 a 64 años,2000,22094,10638,11456
Aguascalientes,60 a 64 años,2005,29196,13802,15394
Aguascalientes,60 a 64 años,2010,37543,17960,19583
Aguascalientes,60 a 64 años,2020,48306,22435,25871
Aguascalientes,55 a 59 años,1990,14905,7045,7860
Aguascalientes,55 a 59 años,1995,17646,8436,9210
Aguascalientes,55 a 59 años,2000,30202,14400,15802
Aguascalientes,55 a 59 años,2005,39222,18636,20586
Aguascalientes,55 a 59 años,2010,49980,23436,26544
Aguascalientes,55 a 59 años,2020,58865,27608,31257
Aguascalientes,50 a 54 años,1990,18093,8523,9570
Aguascalientes,50 a 54 años,1995,24525,11930,12595
Aguascalientes,50 a 54 años,2000,37541,17855,19686
Aguascalientes,50 a 54 años,2005,49233,23155,26078
Aguascalientes,50 a 54 años,2010,60198,28420,31778
Aguascalientes,50 a 54 años,2020,74121,34611,39510
Aguascalientes,5 a 9 años,1990,98158,49742,48416
Aguascalientes,5 a 9 años,1995,107680,54663,53017
Aguascalientes,5 a 9 años,2000,116137,58831,57306
Aguascalientes,5 a 9 años,2005,118536,60406,58130
Aguascalientes,5 a 9 años,2010,121557,61941,59616
Aguascalientes,5 a 9 años,2020,131048,66359,64689
Aguascalientes,45 a 49 años,1990,23788,11650,12138
Aguascalientes,45 a 49 años,1995,31678,15260,16418
Aguascalientes,45 a 49 años,2000,49365,23383,25982
Aguascalientes,45 a 49 años,2005,61553,29044,32509
Aguascalientes,45 a 49 años,2010,73084,34381,38703
Aguascalientes,45 a 49 años,2020,84669,40163,44506
Aguascalientes,40 a 44 años,1990,29392,13962,15430
Aguascalientes,40 a 44 años,1995,40131,19467,20664
Aguascalientes,40 a 44 años,2000,60839,28736,32103
Aguascalientes,40 a 44 años,2005,73006,34068,38938
Aguascalientes,40 a 44 años,2010,86254,40569,45685
Aguascalientes,40 a 44 años,2020,92378,43839,48539
Aguascalientes,35 a 39 años,1990,38127,18255,19872
Aguascalientes,35 a 39 años,1995,52549,25116,27433
Aguascalientes,35 a 39 años,2000,70317,32438,37879
Aguascalientes,35 a 39 años,2005,82651,38373,44278
Aguascalientes,35 a 39 años,2010,88726,41962,46764
Aguascalientes,35 a 39 años,2020,99257,47774,51483
Aguascalientes,30 a 34 años,1990,46833,21920,24913
Aguascalientes,30 a 34 años,1995,62217,29478,32739
Aguascalientes,30 a 34 años,2000,79200,36461,42739
Aguascalientes,30 a 34 años,2005,83073,38437,44636
Aguascalientes,30 a 34 años,2010,93604,44568,49036
Aguascalientes,30 a 34 años,2020,106825,51651,55174
Aguascalientes,25 a 29 años,1990,55660,26182,29478
Aguascalientes,25 a 29 años,1995,71839,33658,38181
Aguascalientes,25 a 29 años,2000,87508,40526,46982
Aguascalientes,25 a 29 años,2005,93139,43716,49423
Aguascalientes,25 a 29 años,2010,106305,51431,54874
Aguascalientes,25 a 29 años,2020,118426,58141,60285
Aguascalientes,20 a 24 años,1990,69577,32248,37329
Aguascalientes,20 a 24 años,1995,88901,42402,46499
Aguascalientes,20 a 24 años,2000,99577,48733,50844
Aguascalientes,20 a 24 años,2005,107007,52748,54259
Aguascalientes,20 a 24 años,2010,121428,60636,60792
Aguascalientes,20 a 24 años,2020,127020,63154,63866
Aguascalientes,15 a 19 años,1990,87750,42735,45015
Aguascalientes,15 a 19 años,1995,97061,48025,49036
Aguascalientes,15 a 19 años,2000,108532,54930,53602
Aguascalientes,15 a 19 años,2005,120280,60816,59464
Aguascalientes,15 a 19 años,2010,123806,62615,61191
Aguascalientes,15 a 19 años,2020,131967,66903,65064
Aguascalientes,100 años y más,1990,78,24,54
Aguascalientes,100 años y más,1995,59,17,42
